City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Coahuayana,MX,89.1,few clouds,18.73,-103.68,Hotel Los Arcos
2,Dulce Nombre De Culmi,HN,86.0,broken clouds,15.1,-85.53,Hotel maria jose
3,Puerto Escondido,MX,87.8,scattered clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
4,Saint-Philippe,RE,73.4,clear sky,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
6,Puerto Ayora,EC,77.0,scattered clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
9,Vung Tau,VN,78.06,overcast clouds,10.35,107.08,Seaside Resort
12,Cabo San Lucas,MX,86.0,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
15,Vaini,TO,73.4,few clouds,-21.2,-175.2,Keleti Beach Resort
18,Hobyo,SO,81.18,few clouds,5.35,48.53,Osmani Hotel
19,Alyangula,AU,75.2,overcast clouds,-13.85,136.42,Groote Eylandt Lodge
24,Gasa,PS,70.0,clear sky,31.5,34.47,رابطة الفنانين الفلسطينيين
34,Jega,NG,80.73,clear sky,12.22,4.38,Jega Guest Inn
37,Albany,US,70.0,clear sky,42.6,-73.97,
38,Arraial Do Cabo,BR,77.0,broken clouds,-22.97,-42.03,Pousada Porto Praia
41,Kapaa,US,80.01,few clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
45,Hithadhoo,MV,84.22,overcast clouds,-0.6,73.08,Scoop Guest House
46,Saint-Joseph,RE,73.4,clear sky,-21.37,55.62,"""Plantation Bed and Breakfast"
47,Mahebourg,MU,73.4,broken clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
48,Saint-Pierre,RE,73.4,clear sky,-21.34,55.48,Lindsey Hôtel
49,Nicoya,CR,80.6,light rain,10.15,-85.45,Guayacan Real
52,Araceli,PH,81.77,clear sky,10.55,119.99,JBryan Traveler's Inn
54,Victoria,HK,75.0,overcast clouds,22.29,114.16,Mini Hotel Central
57,Qeshm,IR,78.8,clear sky,26.96,56.27,Kimia IV Hotel
61,Thinadhoo,MV,84.43,broken clouds,0.53,72.93,
62,Kavieng,PG,81.46,overcast clouds,-2.57,150.8,Nusa Island Retreat
63,Pak Phanang,TH,80.56,light rain,8.35,100.2,Green Park Inn Hotel
66,Kankon,IN,80.6,mist,15.02,74.02,Palolem Beach Resort
67,Bajil,YE,82.08,clear sky,15.06,43.29,فندق الصقر السياحي
71,Hilo,US,77.0,scattered clouds,19.73,-155.09,Hilo Hawaiian Hotel
75,Rikitea,PF,72.41,light rain,-23.12,-134.97,Pension Maro'i
77,Tutoia,BR,84.72,clear sky,-2.76,-42.27,Pousada Guará's
78,Atuona,PF,77.07,broken clouds,-9.8,-139.03,Villa Enata
79,Castro,BR,84.72,few clouds,-24.79,-50.01,CHACARA BAILLY
80,Viedma,AR,78.22,overcast clouds,-40.81,-63.0,Hotel Cristal
83,Bacolod,PH,76.59,overcast clouds,10.67,122.95,Planta Hotel & Residences
84,Jacareacanga,BR,87.91,moderate rain,-6.22,-57.75,Casa do Ian😎
86,Coihaique,CL,73.4,clear sky,-45.58,-72.07,Diego De Almagro Coyhaique
89,Acapulco,MX,87.8,clear sky,16.86,-99.89,HS Hotsson Smart Acapulco
104,Bethel,US,73.99,clear sky,41.37,-73.41,Courtyard by Marriott Danbury
109,Odweyne,SO,72.72,scattered clouds,9.41,45.06,Eng Hiirey House
111,Mbekenyera,TZ,74.16,clear sky,-10.0,38.98,
112,Umm Kaddadah,SD,79.61,clear sky,13.6,26.69,
113,Itoman,JP,73.4,shower rain,26.12,127.67,Southern Beach Hotel & Resort Okinawa
116,Bathsheba,BB,82.4,shower rain,13.22,-59.52,Atlantis Hotel
117,Chabahar,IR,77.04,clear sky,25.29,60.64,هتل گدروشیا
