City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Coahuayana,18.73,-103.68,89.1,50,18,5.59,MX,2020-11-08 18:42:23
1,Lompoc,34.64,-120.46,57.2,66,40,16.11,US,2020-11-08 18:39:55
2,Dulce Nombre De Culmi,15.1,-85.53,86.0,74,75,1.12,HN,2020-11-08 18:42:23
3,Puerto Escondido,15.85,-97.07,87.8,66,40,5.82,MX,2020-11-08 18:42:23
4,Saint-Philippe,-21.36,55.77,73.4,78,0,8.05,RE,2020-11-08 18:42:23
5,Mataura,-46.19,168.86,50.0,93,100,2.04,NZ,2020-11-08 18:42:23
6,Puerto Ayora,-0.74,-90.35,77.0,73,40,20.8,EC,2020-11-08 18:42:24
7,Cape Town,-33.93,18.42,60.01,62,75,8.05,ZA,2020-11-08 18:38:09
8,Lovozero,68.0,35.01,30.79,94,94,21.39,RU,2020-11-08 18:42:24
9,Vung Tau,10.35,107.08,78.06,82,100,4.9,VN,2020-11-08 18:42:24
10,Ihosy,-22.4,46.12,69.85,79,15,12.48,MG,2020-11-08 18:42:24
11,Pinawa,50.15,-95.88,60.94,78,100,10.54,CA,2020-11-08 18:42:24
12,Cabo San Lucas,22.89,-109.91,86.0,61,5,6.93,MX,2020-11-08 18:41:15
13,Lebu,-37.62,-73.65,57.43,68,0,17.92,CL,2020-11-08 18:42:25
14,Geraldton,-28.77,114.6,62.6,82,75,6.93,AU,2020-11-08 18:42:25
15,Vaini,-21.2,-175.2,73.4,88,20,4.7,TO,2020-11-08 18:42:25
16,Otavi,-19.65,17.33,86.65,16,95,7.65,NA,2020-11-08 18:42:25
17,Naze,28.37,129.48,69.8,64,90,17.22,JP,2020-11-08 18:41:26
18,Hobyo,5.35,48.53,81.18,80,23,14.43,SO,2020-11-08 18:42:26
19,Alyangula,-13.85,136.42,75.2,94,95,9.6,AU,2020-11-08 18:42:26
20,Zyryanka,65.75,150.85,-4.25,92,99,6.4,RU,2020-11-08 18:42:26
21,Yellowknife,62.46,-114.35,23.0,92,75,4.7,CA,2020-11-08 18:42:22
22,Kodiak,57.79,-152.41,48.2,57,20,19.46,US,2020-11-08 18:42:26
23,Ushuaia,-54.8,-68.3,53.6,48,40,25.28,AR,2020-11-08 18:42:26
24,Gasa,31.5,34.47,71.01,100,0,10.22,PS,2020-11-08 18:38:12
25,Shingu,33.73,135.98,50.04,78,0,5.46,JP,2020-11-08 18:42:27
26,Talnakh,69.49,88.4,23.0,92,75,22.37,RU,2020-11-08 18:42:27
27,Leningradskiy,69.38,178.42,17.78,96,100,5.53,RU,2020-11-08 18:42:27
28,Ilulissat,69.22,-51.1,10.4,55,100,13.87,GL,2020-11-08 18:42:27
29,Tuktoyaktuk,69.45,-133.04,12.2,92,20,6.93,CA,2020-11-08 18:42:27
30,Saskylakh,71.92,114.08,-10.44,87,0,11.59,RU,2020-11-08 18:42:27
31,Provideniya,64.38,-173.3,27.66,96,100,10.89,RU,2020-11-08 18:42:27
32,Pangnirtung,66.15,-65.71,14.0,66,90,4.7,CA,2020-11-08 18:42:27
33,Vostok,46.49,135.88,17.53,99,100,4.41,RU,2020-11-08 18:42:28
34,Jega,12.22,4.38,80.73,18,3,7.49,NG,2020-11-08 18:42:28
35,Mahon,39.89,4.27,60.8,87,0,2.24,ES,2020-11-08 18:42:28
36,Leninskoye,41.76,69.39,51.8,62,40,6.93,KZ,2020-11-08 18:42:28
37,Albany,42.6,-73.97,73.0,37,0,1.83,US,2020-11-08 18:40:57
38,Arraial Do Cabo,-22.97,-42.03,77.0,83,75,13.87,BR,2020-11-08 18:42:29
39,Thompson,55.74,-97.86,12.2,85,90,10.29,CA,2020-11-08 18:40:03
40,Rognan,67.1,15.39,44.01,87,100,8.66,NO,2020-11-08 18:42:29
41,Kapaa,22.08,-159.32,79.0,78,20,16.11,US,2020-11-08 18:42:29
42,Vestmanna,62.16,-7.17,44.6,87,100,9.17,FO,2020-11-08 18:42:30
43,Birobidzhan,48.8,132.95,22.21,83,0,6.91,RU,2020-11-08 18:42:30
44,Punta Arenas,-53.15,-70.92,55.4,54,0,32.21,CL,2020-11-08 18:42:30
45,Hithadhoo,-0.6,73.08,84.22,72,100,8.01,MV,2020-11-08 18:42:31
46,Saint-Joseph,-21.37,55.62,71.6,78,0,8.05,RE,2020-11-08 18:42:31
47,Mahebourg,-20.41,57.7,73.4,88,75,8.05,MU,2020-11-08 18:42:32
