City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bredasdorp,ZA,2020-11-08 16:57:35,-34.53,20.04,59.0,67,76,17.22
1,Samarai,PG,2020-11-08 16:57:35,-10.62,150.67,80.44,83,58,15.86
2,Jacareacanga,BR,2020-11-08 16:57:36,-6.22,-57.75,96.78,41,62,3.78
3,Namibe,AO,2020-11-08 16:57:36,-15.2,12.15,71.11,69,41,8.19
4,Rikitea,PF,2020-11-08 16:57:36,-23.12,-134.97,71.78,79,91,19.8
5,Puerto Ayora,EC,2020-11-08 16:57:36,-0.74,-90.35,73.4,78,75,12.75
6,Bobcaygeon,CA,2020-11-08 16:57:36,44.55,-78.54,66.2,52,1,5.82
7,Prabumulih,ID,2020-11-08 16:57:37,-3.45,104.25,74.95,95,100,2.08
8,Labuan,MY,2020-11-08 16:57:37,5.28,115.24,75.2,94,40,1.12
9,Busselton,AU,2020-11-08 16:57:37,-33.65,115.33,57.0,72,24,11.52
10,Kapaa,US,2020-11-08 16:57:37,22.08,-159.32,78.8,74,40,12.75
11,Port Keats,AU,2020-11-08 16:57:37,-14.25,129.55,83.41,73,30,4.85
12,Tezu,IN,2020-11-08 16:57:37,27.92,96.17,67.46,45,0,4.07
13,Karratha,AU,2020-11-08 16:57:37,-20.74,116.85,70.16,83,0,13.71
14,Fayetteville,US,2020-11-08 16:55:54,35.05,-78.88,75.2,64,1,9.17
15,Sibay,RU,2020-11-08 16:57:38,52.72,58.67,36.05,88,100,21.18
16,Jamestown,US,2020-11-08 16:56:31,42.1,-79.24,64.99,45,1,4.7
17,Mar Del Plata,AR,2020-11-08 16:57:38,-38.0,-57.56,66.2,82,40,8.05
18,Aban,RU,2020-11-08 16:57:38,56.67,96.06,37.27,81,60,10.36
19,Markdale,CA,2020-11-08 16:57:38,44.32,-80.65,66.0,55,0,4.7
20,Bismarck,US,2020-11-08 16:53:20,46.81,-100.78,63.0,67,1,20.8
21,Hilo,US,2020-11-08 16:57:39,19.73,-155.09,73.4,88,90,3.36
22,Zanesville,US,2020-11-08 16:57:39,39.94,-82.01,73.99,52,1,2.95
23,Lagoa,PT,2020-11-08 16:57:39,39.05,-27.98,59.88,66,89,10.94
24,Barrow,US,2020-11-08 16:57:39,71.29,-156.79,17.6,78,90,21.92
25,Balikpapan,ID,2020-11-08 16:57:39,-1.27,116.83,80.02,79,65,6.98
26,Saint-Philippe,RE,2020-11-08 16:57:39,-21.36,55.77,75.2,73,0,16.11
27,Bambous Virieux,MU,2020-11-08 16:57:39,-20.34,57.76,73.99,94,40,10.29
28,Butaritari,KI,2020-11-08 16:57:39,3.07,172.79,80.83,67,28,6.89
29,Mayo,US,2020-11-08 16:55:35,38.89,-76.51,73.0,88,1,5.82
30,Saint-Joseph,RE,2020-11-08 16:57:40,-21.37,55.62,75.2,73,0,16.11
31,Chokurdakh,RU,2020-11-08 16:57:40,70.63,147.92,-8.95,92,100,1.81
32,Russell,US,2020-11-08 16:57:40,32.35,-85.2,69.8,83,90,6.93
33,Avarua,CK,2020-11-08 16:57:40,-21.21,-159.78,69.8,88,39,7.7
34,Castro,BR,2020-11-08 16:54:45,-24.79,-50.01,85.71,30,2,5.61
35,Ribeira Do Pombal,BR,2020-11-08 16:57:41,-10.83,-38.54,86.05,52,44,13.24
36,Tasiilaq,GL,2020-11-08 16:57:41,65.61,-37.64,30.2,92,100,40.26
37,Havoysund,NO,2020-11-08 16:57:41,71.0,24.66,37.4,74,40,20.8
38,Qaqortoq,GL,2020-11-08 16:57:41,60.72,-46.03,33.8,86,100,8.05
39,Vredendal,ZA,2020-11-08 16:57:41,-31.67,18.5,62.01,62,24,15.39
40,Kaitangata,NZ,2020-11-08 16:57:41,-46.28,169.85,46.99,84,18,3.0
41,Oyon,PE,2020-11-08 16:57:42,-10.67,-76.77,62.2,30,60,11.9
